scale	N	K0	K1	K2	K3
14	262144	3.75246e+06	2.16261e+06	4.34616e+06	7.91278e+08
15	524288	3.51793e+06	3.92462e+06	5.07038e+06	7.78761e+08
16	1048576	3.36734e+06	3.86689e+06	4.82307e+06	6.78314e+08
17	2097152	2.66365e+06	2.2233e+06	4.51129e+06	4.02029e+08
18	4194304	2.06091e+06	2.26072e+06	4.02316e+06	2.8928e+08
19	8388608	1.67975e+06	1.82591e+06	3.9479e+06	2.57336e+08
20	16777216	1.52481e+06	1.78136e+06	3.79623e+06	2.21821e+08
21	33554432	1.37317e+06	1.5257e+06	3.77509e+06	1.69203e+08
22	67108864	1.34487e+06	1.32748e+06	3.62667e+06	1.30705e+08
#	C++	run	on	2015-10-26	21:18:02	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.88498e+06	1.77172e+06	3.14469e+06	5.35722e+08
11	32768	2.14212e+06	2.19441e+06	3.70931e+06	6.2739e+08
12	65536	2.60692e+06	2.85767e+06	4.6095e+06	7.4634e+08
13	131072	3.32668e+06	3.90055e+06	5.78284e+06	9.45968e+08
14	262144	3.84012e+06	4.11519e+06	5.45183e+06	8.79839e+08
15	524288	3.56697e+06	3.98346e+06	5.08063e+06	7.81816e+08
16	1048576	3.36018e+06	3.9043e+06	4.76396e+06	6.71865e+08
17	2097152	2.76738e+06	2.92816e+06	4.0558e+06	4.24066e+08
18	4194304	1.93137e+06	1.99921e+06	3.97074e+06	2.88037e+08
19	8388608	1.68121e+06	1.90584e+06	3.94682e+06	2.57549e+08
20	16777216	1.36536e+06	1.57823e+06	3.7431e+06	2.23222e+08
21	33554432	1.30028e+06	1.70096e+06	3.77205e+06	1.6743e+08
22	67108864	1.40036e+06	1.6737e+06	3.62602e+06	1.35139e+08
